Employee ID,Name,Password,Role,
10001,Garcia Manuel III,10001,HUMAN RESOURCE,
10002,Lim Antonio,10002,PAYROLL STAFF,
10003,Aquino Bianca Sofia,10003,EMPLOYEE,
10004,Reyes Isabella,10004,SUPERVISOR,
10005,Eduard Hernandez,10005,EMPLOYEE,
10006,Villanueva Andrea Mae,10006,EMPLOYEE,
10007,San Jose Brad,10007,SUPERVISOR,
10008,Romualdez Fredrick,10008,EMPLOYEE,
10009,Atienza Cristina,10009,EMPLOYEE,
10010,Alvaro Roderick,10010,HUMAN RESOURCE,
10011,Salcedo Anthony,10011,SUPERVISOR,
10012,Lopez Christian,10012,EMPLOYEE,
10013,Mendoza Angelo,10013,EMPLOYEE,
10014,Santos Angelica,10014,PAYROLL STAFF,
10015,Rosario Cydney,10015,EMPLOYEE,
10016,Bautista Sandra,10016,SUPERVISOR,
10017,Villanueva Andrea Mae,10017,EMPLOYEE,
10018,Ramos Martha,10018,HUMAN RESOURCE,
10019,Gutierrez Rafael,10019,EMPLOYEE,
10020,Montero Rita,10020,PAYROLL STAFF,
10021,De Leon Leila,10021,EMPLOYEE,
10022,Fernandez Carl,10022,SUPERVISOR,
10023,Valdez Jennie,10023,EMPLOYEE,
10024,Cruz Rafael,10024,EMPLOYEE,
10025,Domingo Gloria,10025,HUMAN RESOURCE,
10026,Santiago Selena,10026,EMPLOYEE,
10027,Mata Christian,10027,PAYROLL STAFF,
10028,Mercado Emma,10028,SUPERVISOR,
10029,Navarro Joshua,10029,EMPLOYEE,
10030,Mendoza Emilio,10030,EMPLOYEE,
10031,Pineda Christine,10031,EMPLOYEE,
10032,Torres Jayson,10032,EMPLOYEE,
10033,Castro Aurora,10033,EMPLOYEE,
10034,Martinez Divina,10034,EMPLOYEE,
10035,John Paul Arquita,1234,EMPLOYEE,
