Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate,
10001,Garcia,Manuel III,10/10/1983,Valero Carpark Building Valero Street 1227 Makati City,966-860-270,44-4506057-3,820126853951,442-605-657-000,691295330870,Regular,Chief Executive Officer,N/A,90000.00,1500.00,2000.00,1000.00,45000.00,535.71,
10002,Lim,Antonio,6/19/1988,San Antonio De Padua 2 Block 1 Lot 8 and 2 Dasmarinas Cavite,171-867-411,52-2061274-9,331735646338,683-102-776-000,663904995411,Regular,Chief Operating Officer,Garcia Manuel III,60000.00,1500.00,2000.00,1000.00,30000.00,357.14,10002,
10003,Aquino,Bianca Sofia,8/4/1989,Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100 Quezon City,966-889-370,30-8870406-2,177451189665,971-711-280-000,171519773969,Regular,Chief Finance Officer,Garcia Manuel III,60000.00,1500.00,2000.00,1000.00,30000.00,357.14,
10004,Reyes,Isabella,6/16/1994,460 Solanda Street Intramuros 1000 Manila,786-868-477,40-2511815-0,341911411254,876-809-437-000,416946776041,Regular,Chief Marketing Officer,Garcia Manuel III,60000.00,1500.00,2000.00,1000.00,30000.00,357.14,
10005,Hernandez,Eduard,9/23/1989,National Highway Gingoog Misamis Occidental,088-861-012,55-7453448-4,957436191235,103-100-522-000,631052853464,Regular,IT Operations and Systems,Lim Antonio,52670.00,1500.00,1000.00,1000.00,26335.00,313.51,
10006,Villanueva,Andrea Mae,2/14/1988,17/85 Stracke Via Suite 042 Poblacion Las Piñas 4783 Dinagat Islands,918-621-603,49-1632020-8,382189453145,112-508-198-000,719225484359,Regular,HR Manager,Lim Antonio,52670.00,1500.00,1000.00,1000.00,26335.00,313.51,
10007,San Jose,Brad,3/15/1996,99 Strosin Hills Poblacion Bislig 5340 Tawi-Tawi,797-009-261,40-2400714-1,239192926939,210-805-911-000,114901151614,Regular,HR Team Leader,Villanueva Andrea Mae,42975.00,1500.00,800.00,800.00,21487.50,255.80,
10008,Romualdez,Fredrick,6/28/1992,12A/33 Upton Isle Apt. 420 Roxas City 1814 Surigao del Norte,983-606-799,26-9647608-3,126445315694,275-792-513-000,505278898045,Regular,HR Rank and File,San Jose Brad,22500.00,1500.00,500.00,500.00,11250.00,133.93,
10009,Atienza,Cristina,5/11/1990,90A Dibbert Terrace Apt. 190 San Lorenzo 6056 Davao del Norte,266-036-427,55-4476527-2,545652640232,888-572-294-000,399665157135,Regular,HR Rank and File,San Jose Brad,22500.00,1500.00,500.00,500.00,11250.00,133.93,
10010,Alvaro,Roderick,3/9/1988,#284 T. Morato corner Scout Rallos Street Quezon City,053-381-386,26-8768374-1,431709011012,604-997-793-000,631130283946,Regular,Accounting Manager,Aquino Bianca Sofia,52670.00,1500.00,1000.00,1000.00,26335.00,313.51,
10011,Salcedo,Anthony,9/14/1993,93/54 Shanahan Alley Apt. 183 Santo Tomas 1572 Masbate,070-766-300,26-7145133-4,233693897247,210-835-851-000,719807249464,Regular,Payroll Manager,Alvaro Roderick,50825.00,1500.00,1000.00,1000.00,25412.50,302.53,10011,
10012,Lopez,Christian,12/20/1991,49 Springs Apt. 266 Poblacion Taguig 3200 Occidental Mindoro,478-355-427,52-0109570-6,515741057496,275-325-334-000,916660383904,Regular,Payroll Team Leader,Salcedo Anthony,38475.00,1500.00,800.00,800.00,19237.50,229.02,
10013,Mendoza,Angelo,12/30/1998,42/25 Sawayn Stream Ubay 1208 Zamboanga del Norte,526-639-511,60-1152426-4,308366860059,595-800-251-000,104907708201,Regular,Payroll Rank and File,Salcedo Anthony,24000.00,1500.00,500.00,500.00,12000.00,142.86,
10014,Santos,Angelica,6/15/2000,37/46 Kulas Roads Maragondon 0962 Quirino,329-034-366,60-8359821-7,745148459521,121-203-336-000,945357966367,Regular,Payroll Rank and File,Salcedo Anthony,24000.00,1500.00,500.00,500.00,12000.00,142.86,
10015,Rosario,Cydney,8/24/1996,22A/52 Lubowitz Meadows Pililla 4895 Zambales,877-110-749,55-5053-122-5,308105267164,122-244-511-000,412523163068,Regular,Account Manager,Aquino Bianca Sofia,53500.00,1500.00,1000.00,1000.00,26750.00,318.45,
10016,Bautista,Sandra,2/15/1993,90 O'Keefe Spur Apt. 379 Catigbian 2772 Sulu,683-725-348,49-1629900-2,745667418032,218-489-737-000,955072367414,Regular,Account Team Leader,Rosario Cydney,42975.00,1500.00,800.00,800.00,21487.50,255.80,
10017,Villanueva,Andrea Mae,8/27/1978,89A Armstrong Trace Compostela 7874 Maguindanao,179-835-694,45-5866331-6,515612764302,236-346-689-000,275229267919,Regular,Account Team Leader,Rosario Cydney,42975.00,1500.00,800.00,800.00,21487.50,255.80,
10018,Ramos,Martha,12/28/1984,08 Grant Drive Suite 406 Poblacion Iloilo City 9186 La Union,975-432-139,41-7544986-3,399665368072,215-973-463-000,710312111794,Regular,Account Rank and File,Romualdez Fredrick,25275.00,1500.00,500.00,500.00,12637.50,150.45,
10019,Gutierrez,Rafael,1/31/1978,93A/21 Berge Points Tapaz 2180 Quezon,687-620-489,45-3251383-0,578114853844,316-180-072-000,110367894320,Regular,Account Rank and File,Romualdez Fredrick,25275.00,1500.00,500.00,500.00,12637.50,150.45,
10020,Montero,Rita,12/18/1986,65 Murphy Centers Poblacion Palayan 5636 Quirino,853-169-957,52-8080486-0,399665157135,317-674-022-000,697291992547,Regular,Account Rank and File,Mata Christian,28475.00,1500.00,500.00,500.00,14237.50,169.49,
10021,De Leon,Leila,6/15/1979,47 Farrell Ridge Suite 588 Poblacion Caloocan 7142 Guimaras,786-868-477,52-1577535-1,606078138509,210-395-397-000,182596462146,Regular,Account Rank and File,Mata Christian,28475.00,1500.00,500.00,500.00,14237.50,169.49,
10022,Fernandez,Carl,4/6/1986,75A/11 Jerde Meadow Burgos 4238 Albay,684-809-682,40-9504657-8,181857481626,825-797-959-000,850437623344,Regular,Budget Team Leader,Romualdez Fredrick,24000.00,1500.00,500.00,500.00,12000.00,142.86,
10023,Valdez,Jennie,4/28/1976,17 Schmitt Avenue Mabini 4175 Laguna,070-766-300,45-5866331-6,745148459521,888-572-294-000,807830245736,Regular,Collector,Mata Christian,33000.00,1500.00,800.00,800.00,16500.00,196.43,
10024,Cruz,Rafael,6/17/1997,22A Leannon Meadow Burgos 3355 Southern Leyte,836-050-317,26-9647608-3,233693897247,604-997-793-000,134760047411,Regular,Cashier,Mata Christian,33000.00,1500.00,800.00,800.00,16500.00,196.43,
10025,Domingo,Gloria,3/27/1985,72/97 Mayert Track Luisiana 1263 Dinagat Islands,070-784-123,40-2400714-1,282277297254,275-797-513-000,745486981021,Regular,Disbursement Team Leader,Mata Christian,33000.00,1500.00,800.00,800.00,16500.00,196.43,
10026,Santiago,Selena,10/30/1986,80A/48 Gorczany Ridge Luisiana 1263 Dinagat Islands,778-377-830,45-3251383-0,173472776191,210-835-851-000,634904853465,Regular,Billing Team Leader,Mata Christian,24000.00,1500.00,500.00,500.00,12000.00,142.86,
