MOTORPH EMPLOYEE BENEFITS SUMMARY
Generated on: 2025-07-01

Employee ID,Employee Name,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Total Benefits,SSS Number,PhilHealth Number,TIN Number,Pag-IBIG Number
10001,"Manuel III Garcia",90000.00,1500.00,2000.00,1000.00,4500.00,"44-4506057-3","8.20127E+11","442-605-657-000","6.91295E+11"
10002,"Antonio Lim",60000.00,1500.00,2000.00,1000.00,4500.00,"52-2061274-9","3.31736E+11","683-102-776-000","6.63905E+11"
10003,"Bianca Sofia Aquino",60000.00,1500.00,2000.00,1000.00,4500.00,"30-8870406-2","1.77451E+11","971-711-280-000","1.7152E+11"
10004,"Isabella Reyes",60000.00,1500.00,2000.00,1000.00,4500.00,"40-2511815-0","3.41911E+11","876-809-437-000","4.16947E+11"
10005,"Eduard Hernandez",52670.00,1500.00,1000.00,1000.00,3500.00,"55-7453448-4","9.57436E+11","103-100-522-000","6.31053E+11"
10006,"Andrea Mae Villanueva",52670.00,1500.00,1000.00,1000.00,3500.00,"49-1632020-8","3.82189E+11","112-508-198-000","7.19225E+11"
10007,"Brad San Jose",42975.00,1500.00,800.00,800.00,3100.00,"40-2400714-1","2.39193E+11","210-805-911-000","1.14901E+11"
10008,"Fredrick Romualdez",22500.00,1500.00,500.00,500.00,2500.00,"26-9647608-3","1.26445E+11","275-792-513-000","5.05279E+11"
10009,"Cristina Atienza",22500.00,1500.00,500.00,500.00,2500.00,"55-4476527-2","5.45653E+11","888-572-294-000","3.99665E+11"
10010,"Roderick Alvaro",52670.00,1500.00,1000.00,1000.00,3500.00,"26-8768374-1","4.31709E+11","604-997-793-000","6.3113E+11"
10011,"Anthony Salcedo",50825.00,1500.00,1000.00,1000.00,3500.00,"26-7145133-4","2.33694E+11","210-835-851-000","7.19807E+11"
10012,"Christian Lopez",38475.00,1500.00,800.00,800.00,3100.00,"52-0109570-6","5.15741E+11","275-325-334-000","9.1666E+11"
10013,"Angelo Mendoza",24000.00,1500.00,500.00,500.00,2500.00,"60-1152426-4","3.08367E+11","595-800-251-000","1.04908E+11"
10014,"Angelica Santos",24000.00,1500.00,500.00,500.00,2500.00,"60-8359821-7","7.45148E+11","121-203-336-000","9.45358E+11"
10015,"Cydney Rosario",53500.00,1500.00,1000.00,1000.00,3500.00,"55-5053-122-5","3.08105E+11","122-244-511-000","4.12523E+11"
10016,"Sandra Bautista",42975.00,1500.00,800.00,800.00,3100.00,"49-1629900-2","7.45667E+11","218-489-737-000","9.55072E+11"
10017,"Andrea Mae Villanueva",42975.00,1500.00,800.00,800.00,3100.00,"45-5866331-6","5.15613E+11","236-346-689-000","2.75229E+11"
10018,"Martha Ramos",25275.00,1500.00,500.00,500.00,2500.00,"41-7544986-3","3.99665E+11","215-973-463-000","7.10312E+11"
10019,"Rafael Gutierrez",25275.00,1500.00,500.00,500.00,2500.00,"45-3251383-0","5.78115E+11","316-180-072-000","1.10368E+11"
10020,"Rita Montero",28475.00,1500.00,500.00,500.00,2500.00,"52-8080486-0","3.99665E+11","317-674-022-000","6.97292E+11"
10021,"Leila De Leon",28475.00,1500.00,500.00,500.00,2500.00,"52-1577535-1","6.06078E+11","210-395-397-000","1.82596E+11"
10022,"Carl Fernandez",24000.00,1500.00,500.00,500.00,2500.00,"40-9504657-8","1.81857E+11","825-797-959-000","8.50438E+11"
10023,"Jennie Valdez",33000.00,1500.00,800.00,800.00,3100.00,"45-5866331-6","7.45148E+11","888-572-294-000","8.0783E+11"
10024,"Rafael Cruz",33000.00,1500.00,800.00,800.00,3100.00,"26-9647608-3","2.33694E+11","604-997-793-000","1.3476E+11"
10025,"Gloria Domingo",33000.00,1500.00,800.00,800.00,3100.00,"40-2400714-1","2.82277E+11","275-797-513-000","7.45487E+11"
10026,"Selena Santiago",24000.00,1500.00,500.00,500.00,2500.00,"45-3251383-0","1.73473E+11","210-835-851-000","6.34905E+11"
10027,"Christian Mata",24000.00,1500.00,500.00,500.00,2500.00,"52-1052986-1","8.68337E+11","317-674-022-000","6.71192E+11"
10028,"Emma Mercado",24000.00,1500.00,500.00,500.00,2500.00,"40-2511815-0","3.41911E+11","604-997-793-000","9.2317E+11"
10029,"Joshua Navarro",22500.00,1500.00,500.00,500.00,2500.00,"45-5866331-6","8.82909E+11","210-805-911-000","3.64146E+11"
10030,"Emilio Mendoza",22500.00,1500.00,500.00,500.00,2500.00,"45-3251383-0","8.04398E+11","218-489-737-000","9.2317E+11"
10031,"Christine Pineda",22500.00,1500.00,500.00,500.00,2500.00,"49-1629900-2","2.39193E+11","275-792-513-000","6.31053E+11"
10032,"Jayson Torres",22500.00,1500.00,500.00,500.00,2500.00,"52-0109570-6","5.15741E+11","598-065-074-000","6.71192E+11"
10033,"Aurora Castro",22500.00,1500.00,500.00,500.00,2500.00,"40-9504657-8","5.17626E+11","103-100-522-000","1.04908E+11"
10034,"Divina Martinez",22500.00,1500.00,500.00,500.00,2500.00,"45-3251383-0","3.80685E+11","923-630-728-000","6.91295E+11"
10035,"Arquita John Paul",90000.00,500.00,500.00,500.00,1500.00,"123-456-789","123456789","123456789","123456789"

SUMMARY:
Total Employees:,35
Total Company Benefits Cost:,103700.00
Average Benefits per Employee:,2962.86
